job_title,company,location,salary,experience,description,date_posted
LLM Engineer,KPMG,Singapore,10677000,6 years,"LLM Engineer position at KPMG requiring fine-tuning, vllm, pytorch, langchain, python, rag. Based in Singapore. Looking for 6 years of industry experience.",2023-06-28
Full Stack Developer,NIIT Technologies,Hyderabad,2981000,9 years,"Full Stack Developer position at NIIT Technologies requiring postgresql, git, react, docker. Based in Hyderabad. Looking for 9 years of industry experience.",2024-02-12
DevOps Engineer,Wipro,Ahmedabad,4879000,12+ years,"DevOps Engineer position at Wipro requiring aws, python, ci/cd, linux, kubernetes, docker, jenkins. Based in Ahmedabad. Looking for 12+ years of industry experience.",2024-11-27
iOS Developer,Paytm,Gurugram,1060000,2 years,"iOS Developer position at Paytm requiring objective-c, app store, rest api, swift, swiftui, core data. Based in Gurugram. Looking for 2 years of industry experience.",2026-05-21
MLOps Engineer,Atlassian,Delhi,1735000,3 years,"MLOps Engineer position at Atlassian requiring terraform, kubeflow, ci/cd, mlflow, python, kubernetes, airflow. Based in Delhi. Looking for 3 years of industry experience.",2026-03-28
DevOps Engineer,Google,Hyderabad,1290000,4 years,"DevOps Engineer position at Google requiring ci/cd, docker, aws, linux, kubernetes. Based in Hyderabad. Looking for 4 years of industry experience.",2025-02-17
AI Research Scientist,Ola,Jaipur,3646000,5 years,"AI Research Scientist position at Ola requiring deep learning, reinforcement learning, statistics, pytorch, computer vision, latex. Based in Jaipur. Looking for 5 years of industry experience.",2023-05-27
DevOps Engineer,Scale AI,Bengaluru,2068000,2 years,"DevOps Engineer position at Scale AI requiring terraform, python, linux, jenkins, ansible. Based in Bengaluru. Looking for 2 years of industry experience.",2026-02-14
Senior Software Engineer,Artivatic,Singapore,7552000,8 years,"Senior Software Engineer position at Artivatic requiring distributed systems, python, ci/cd, aws. Based in Singapore. Looking for 8 years of industry experience.",2024-07-02
MLOps Engineer,Deloitte,Mumbai,1889000,4 years,"MLOps Engineer position at Deloitte requiring docker, aws, ci/cd, airflow, monitoring, kubeflow. Based in Mumbai. Looking for 4 years of industry experience.",2024-06-26
Frontend Developer,Tech Mahindra,Remote,1505000,9 years,"Frontend Developer position at Tech Mahindra requiring webpack, redux, graphql, javascript, typescript, next.js. Remote-friendly role. Looking for 9 years of industry experience.",2025-11-09
ML Engineer,Amazon,Ahmedabad,2590000,5 years,"ML Engineer position at Amazon requiring tensorflow, fastapi, spark, docker. Based in Ahmedabad. Looking for 5 years of industry experience.",2023-05-11
Data Engineer,Artivatic,Hyderabad,2819000,8 years,"Data Engineer position at Artivatic requiring postgres, kafka, python, aws, dbt, snowflake, sql. Based in Hyderabad. Looking for 8 years of industry experience.",2024-11-27
NLP Engineer,Scale AI,"Austin, US",7528000,10+ years,"NLP Engineer position at Scale AI requiring python, nltk, pytorch, huggingface, sql, llm, transformers. Based in Austin, US. Looking for 10+ years of industry experience.",2023-11-10
Backend Developer,Hexaware,Hyderabad,1229000,3 years,"Backend Developer position at Hexaware requiring django, docker, mongodb, python. Based in Hyderabad. Looking for 3 years of industry experience.",2023-08-18
Generative AI Engineer,Barclays,Pune,5709000,4 years,"Generative AI Engineer position at Barclays requiring stable diffusion, python, llm, rag, pytorch, vector databases. Based in Pune. Looking for 4 years of industry experience.",2025-09-22
MLOps Engineer,Swiggy,Delhi,6341000,8 years,"MLOps Engineer position at Swiggy requiring kubernetes, aws, monitoring, terraform, python. Based in Delhi. Looking for 8 years of industry experience.",2026-05-27
Backend Developer,Genpact,"Amsterdam, NL",2462000,2 years,"Backend Developer position at Genpact requiring redis, rest api, docker, postgresql, django. Based in Amsterdam, NL. Looking for 2 years of industry experience.",2025-07-13
Software Engineer,PwC,"San Francisco, US",4141000,7 years,"Software Engineer position at PwC requiring python, spring boot, sql, git, java, microservices. Based in San Francisco, US. Looking for 7 years of industry experience.",2023-05-26
Security Engineer,Netflix,Mumbai,2305000,1 year,"Security Engineer position at Netflix requiring penetration testing, devsecops, siem, zero trust. Based in Mumbai. Looking for 1 year of industry experience.",2024-05-02
QA Engineer,Meta,Kolkata,548000,1 year,"QA Engineer position at Meta requiring python, ci/cd, rest api, appium, test planning. Based in Kolkata. Looking for 1 year of industry experience.",2025-04-13
AI Engineer,EY,Pune,2170000,6 years,"AI Engineer position at EY requiring vector databases, fastapi, aws, openai api, prompt engineering, python, langchain. Based in Pune. Looking for 6 years of industry experience.",2023-05-05
QA Engineer,CRED,Remote,1312000,7 years,"QA Engineer position at CRED requiring rest api, python, test planning, sql. Remote-friendly role. Looking for 7 years of industry experience.",2025-07-07
Security Engineer,Genpact,Delhi,1700000,5 years,"Security Engineer position at Genpact requiring python, siem, threat modeling, kubernetes, zero trust, penetration testing, devsecops. Based in Delhi. Looking for 5 years of industry experience.",2026-01-12
